XP,YP,ZP,XS[01],XS[02],XS[03],XS[04],XS[05],XS[06],XS[07],XS[08],XS[09],XS[10],XS[11],XS[12],XS[13],XS[14],XS[15],XS[16],XS[17],XS[18],XS[19],XS[20],XS[21],XS[22],XS[23],XS[24],XS[25],XS[26],XS[27],XS[28],XS[29],XS[30],XS[31],XS[32],XS[33],XS[34],XS[35],XS[36],XS[37],XS[38],XS[39],XS[40],XS[41],XS[42],XS[43],XS[44],XS[45],YS[01],YS[02],YS[03],YS[04],YS[05],YS[06],YS[07],YS[08],YS[09],YS[10],YS[11],YS[12],YS[13],YS[14],YS[15],YS[16],YS[17],YS[18],YS[19],YS[20],YS[21],YS[22],YS[23],YS[24],YS[25],YS[26],YS[27],YS[28],YS[29],YS[30],YS[31],YS[32],YS[33],YS[34],YS[35],YS[36],YS[37],YS[38],YS[39],YS[40],YS[41],YS[42],YS[43],YS[44],YS[45],ZS[01],ZS[02],ZS[03],ZS[04],ZS[05],ZS[06],ZS[07],ZS[08],ZS[09],ZS[10],ZS[11],ZS[12],ZS[13],ZS[14],ZS[15],ZS[16],ZS[17],ZS[18],ZS[19],ZS[20],ZS[21],ZS[22],ZS[23],ZS[24],ZS[25],ZS[26],ZS[27],ZS[28],ZS[29],ZS[30],ZS[31],ZS[32],ZS[33],ZS[34],ZS[35],ZS[36],ZS[37],ZS[38],ZS[39],ZS[40],ZS[41],ZS[42],ZS[43],ZS[44],ZS[45],
               0,               0,               0,   -1.21382e-025,   -3.45808e-026,   -1.68379e-026,   -7.64615e-026,   -7.46976e-026,   -6.58809e-026,   -5.80261e-026,   -5.59482e-026,   -5.77839e-026,   -5.96214e-026,    -5.9975e-026,    -5.9107e-026,   -5.89237e-026,   -5.92552e-026,    -5.9663e-026,   -6.00269e-026,   -6.02744e-026,   -6.05737e-026,   -6.09471e-026,   -6.14054e-026,   -6.19449e-026,   -6.25565e-026,    -6.3275e-026,   -6.40804e-026,   -6.50019e-026,   -6.60922e-026,    -6.7291e-026,   -6.87068e-026,   -7.03043e-026,   -7.20976e-026,   -7.41416e-026,   -7.64292e-026,   -7.89067e-026,    -8.1553e-026,   -8.42083e-026,   -8.65357e-026,   -8.79818e-026,   -8.78456e-026,   -8.54694e-026,   -8.02761e-026,   -7.15963e-026,   -5.84575e-026,   -3.97949e-026,   -1.62899e-026,    8.11492e-027,    1.41808e-026,   -3.20217e-025,     1.6425e-025,    1.11795e-025,    -3.4461e-026,   -4.27831e-026,   -1.24946e-026,    7.13788e-027,    5.01548e-027,    1.48972e-027,   -1.67127e-027,   -2.36471e-027,   -1.62976e-027,   -7.50037e-028,   -9.81245e-028,   -1.07279e-027,   -1.07821e-027,   -1.11232e-027,   -1.07009e-027,   -1.06928e-027,   -1.07759e-027,   -1.07089e-027,   -1.06133e-027,   -1.04723e-027,   -1.03577e-027,    -1.0264e-027,   -1.01298e-027,   -9.98624e-028,   -9.81054e-028,   -9.61289e-028,   -9.37792e-028,   -9.08832e-028,   -8.73245e-028,    -8.2926e-028,   -7.75848e-028,   -7.09721e-028,   -6.23461e-028,   -5.03846e-028,   -3.38082e-028,   -1.21796e-028,     1.4458e-028,    4.62137e-028,    8.34239e-028,    1.24211e-027,    1.62269e-027,        -48.9662,        -44.4711,         -41.088,        -37.8587,        -35.1532,        -32.6157,         -29.444,        -25.7342,          -23.31,        -20.7963,         -17.855,        -15.6349,        -13.0985,        -10.9756,         -9.2278,        -7.44853,        -6.01762,        -4.76585,        -3.76135,        -2.95742,        -2.26332,        -1.71178,        -1.26659,       -0.929887,       -0.680635,       -0.487145,       -0.348987,       -0.244195,       -0.169875,       -0.117194,      -0.0799345,      -0.0535095,      -0.0357825,      -0.0236822,      -0.0155287,      -0.0101012,     -0.00651857,     -0.00422333,     -0.00268374,     -0.00166338,     -0.00102179,    -0.000638307,    -0.000440241,    -0.000301946,    -0.000177072,
               0,               0,               0,   -1.21382e-025,   -3.45808e-026,   -1.68379e-026,   -7.64615e-026,   -7.46976e-026,   -6.58809e-026,   -5.80261e-026,   -5.59482e-026,   -5.77839e-026,   -5.96214e-026,    -5.9975e-026,    -5.9107e-026,   -5.89237e-026,   -5.92552e-026,    -5.9663e-026,   -6.00269e-026,   -6.02744e-026,   -6.05737e-026,   -6.09471e-026,   -6.14054e-026,   -6.19449e-026,   -6.25565e-026,    -6.3275e-026,   -6.40804e-026,   -6.50019e-026,   -6.60922e-026,    -6.7291e-026,   -6.87068e-026,   -7.03043e-026,   -7.20976e-026,   -7.41416e-026,   -7.64292e-026,   -7.89067e-026,    -8.1553e-026,   -8.42083e-026,   -8.65357e-026,   -8.79818e-026,   -8.78456e-026,   -8.54694e-026,   -8.02761e-026,   -7.15963e-026,   -5.84575e-026,   -3.97949e-026,   -1.62899e-026,    8.11492e-027,    1.41808e-026,   -3.20217e-025,     1.6425e-025,    1.11795e-025,    -3.4461e-026,   -4.27831e-026,   -1.24946e-026,    7.13788e-027,    5.01548e-027,    1.48972e-027,   -1.67127e-027,   -2.36471e-027,   -1.62976e-027,   -7.50037e-028,   -9.81245e-028,   -1.07279e-027,   -1.07821e-027,   -1.11232e-027,   -1.07009e-027,   -1.06928e-027,   -1.07759e-027,   -1.07089e-027,   -1.06133e-027,   -1.04723e-027,   -1.03577e-027,    -1.0264e-027,   -1.01298e-027,   -9.98624e-028,   -9.81054e-028,   -9.61289e-028,   -9.37792e-028,   -9.08832e-028,   -8.73245e-028,    -8.2926e-028,   -7.75848e-028,   -7.09721e-028,   -6.23461e-028,   -5.03846e-028,   -3.38082e-028,   -1.21796e-028,     1.4458e-028,    4.62137e-028,    8.34239e-028,    1.24211e-027,    1.62269e-027,        -48.9662,        -44.4711,         -41.088,        -37.8587,        -35.1532,        -32.6157,         -29.444,        -25.7342,          -23.31,        -20.7963,         -17.855,        -15.6349,        -13.0985,        -10.9756,         -9.2278,        -7.44853,        -6.01762,        -4.76585,        -3.76135,        -2.95742,        -2.26332,        -1.71178,        -1.26659,       -0.929887,       -0.680635,       -0.487145,       -0.348987,       -0.244195,       -0.169875,       -0.117194,      -0.0799345,      -0.0535095,      -0.0357825,      -0.0236822,      -0.0155287,      -0.0101012,     -0.00651857,     -0.00422333,     -0.00268374,     -0.00166338,     -0.00102179,    -0.000638307,    -0.000440241,    -0.000301946,    -0.000177072,
               0,               0,               0,   -1.21382e-025,   -3.45808e-026,   -1.68379e-026,   -7.64615e-026,   -7.46976e-026,   -6.58809e-026,   -5.80261e-026,   -5.59482e-026,   -5.77839e-026,   -5.96214e-026,    -5.9975e-026,    -5.9107e-026,   -5.89237e-026,   -5.92552e-026,    -5.9663e-026,   -6.00269e-026,   -6.02744e-026,   -6.05737e-026,   -6.09471e-026,   -6.14054e-026,   -6.19449e-026,   -6.25565e-026,    -6.3275e-026,   -6.40804e-026,   -6.50019e-026,   -6.60922e-026,    -6.7291e-026,   -6.87068e-026,   -7.03043e-026,   -7.20976e-026,   -7.41416e-026,   -7.64292e-026,   -7.89067e-026,    -8.1553e-026,   -8.42083e-026,   -8.65357e-026,   -8.79818e-026,   -8.78456e-026,   -8.54694e-026,   -8.02761e-026,   -7.15963e-026,   -5.84575e-026,   -3.97949e-026,   -1.62899e-026,    8.11492e-027,    1.41808e-026,   -3.20217e-025,     1.6425e-025,    1.11795e-025,    -3.4461e-026,   -4.27831e-026,   -1.24946e-026,    7.13788e-027,    5.01548e-027,    1.48972e-027,   -1.67127e-027,   -2.36471e-027,   -1.62976e-027,   -7.50037e-028,   -9.81245e-028,   -1.07279e-027,   -1.07821e-027,   -1.11232e-027,   -1.07009e-027,   -1.06928e-027,   -1.07759e-027,   -1.07089e-027,   -1.06133e-027,   -1.04723e-027,   -1.03577e-027,    -1.0264e-027,   -1.01298e-027,   -9.98624e-028,   -9.81054e-028,   -9.61289e-028,   -9.37792e-028,   -9.08832e-028,   -8.73245e-028,    -8.2926e-028,   -7.75848e-028,   -7.09721e-028,   -6.23461e-028,   -5.03846e-028,   -3.38082e-028,   -1.21796e-028,     1.4458e-028,    4.62137e-028,    8.34239e-028,    1.24211e-027,    1.62269e-027,        -49.6398,        -45.1121,        -41.6936,        -38.4265,        -35.6815,        -33.1034,        -29.8697,        -26.0775,        -23.5921,        -21.0011,        -17.9654,        -15.6591,        -13.0129,        -10.7896,         -8.9461,        -7.06226,         -5.5392,        -4.20199,        -3.12737,        -2.26909,        -1.53337,       -0.958789,        -0.50945,       -0.187292,       0.0290872,        0.172548,        0.249629,        0.281255,        0.277201,        0.250518,        0.210206,        0.164801,        0.121295,       0.0833369,       0.0531306,       0.0310988,       0.0164584,      0.00767304,       0.0029488,     0.000818557,    8.63455e-005,   -4.96403e-005,    -0.000142916,    -0.000230461,    -0.000104201,
